Rj_CleJour,Rj_Date,"Rj_TypeRando",Rj_NombreParticipants,"Rj_Titre","Rj_NomDuProgramme",Rj_DistanceInferieure,Rj_DistanceCalculee,Rj_DistanceSuperieure,Rj_Unite,Rj_Allure,Rj_HeureDepartAllerA,Rj_HeureChgtArriveeAllerA,Rj_HeureChgtDepartAllerA,Rj_HeureArriveeAllerA,Rj_HeureDepartRetourA,Rj_HeureChgtArriveeRetourA,Rj_HeureChgtDepartRetourA,Rj_HeureArriveeRetourA,"Rj_AllerGareDepart","Rj_AllerChangementNb","Rj_AllerGareArrivee","Rj_Itineraire","Rj_RetourGareDepart","Rj_RetourChangementNb","Rj_RetourGareArrivee","Rj_MultiDates","Rj_HorairesVerification","Rj_Commentaires",Rj_Efface,Rj_SyncLocal,Rj_SyncDistant
31019,2016-08-04,"Journée",0,,"Franck Tatibouet",18,18,18,1,2,1999/12/30 09:21:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:06:00,1999/12/30 16:47:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:40:00,"Bibliothèque François Mitterrand RER C",,"Breuillet Village (zone 5)","Breux, Mirgaudon.","St Chéron (zone 5)",,"Bibliothèque François Mitterrand",,,"IGN 2216 ET.",N,,
30936,2016-08-04,"Journée",0,"Balade en forêt","Pénélope",24,24,24,1,2,1999/12/30 08:10:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:55:00,1999/12/30 15:38:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 16:42:00,"Paris Austerlitz grandes lignes",,"Dourdan (zone 5)","Le Grillon, carrefour Nemours, Buttes Blanches.","Dourdan",,"Paris Austerlitz",,,"IGN 2216 ET.",N,,
31157,2016-08-04,"Surprise",5,"vallee de chevreuse","François JOURDAN",23,23,23,1,2,1999/12/30 08:20:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:11:00,1999/12/30 16:41:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:29:00,"Paris Montparnasse",,"Coignières (zone 5)","Maincourt, Dampierre. Dénivelées.","St Rémy lès Chevreuse (zone 5)",,"Châtelet Les Halles RER B",,,,N,,
31037,2016-08-05,"Journée",9,,"Claude B",35,35,35,1,3,1999/12/30 08:09:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:29:00,1999/12/30 17:22:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:49:00,"Paris Gare de Lyon RER D",,"Boigneville (zone 5)"," Dénivelées.","Boigneville",,"Paris Gare de Lyon",,,,N,,
30904,2016-08-05,"Journée",19,"Découvrir des grottes et même un gouffre","Bruno",24,24,24,1,2,1999/12/30 08:19:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:04:00,1999/12/30 17:30:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:11:00,"Paris Gare de Lyon",,"Thomery (zone 5)","Traversée de futaies et ascension dans les chaos rocheux pour découvrir quelques grottes et un gouffre unique dans cette belle forêt. Bonne condition physique exigée. Dénivelées.","Fontainebleau Avon (zone 5)",,"Paris Gare de Lyon",,,"IGN 2417 OT.",N,,
31189,2016-08-05,"Surprise",2,,"Valérie",5,20,,2,2,1999/12/30 08:49:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:20:00,1999/12/30 17:07:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:41:00,"Paris Gare de Lyon",,"RV Bois le Roi (zone 5)","Parcours improvisé selon la météo.","Bois le Roi",,"Paris Gare de Lyon",,,,N,,
31225,2016-08-05,"Surprise",0,,"Michèle Nature",11,11,11,1,2,1999/12/30 12:31:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 13:02:00,1999/12/30 17:33:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:58:00,"Paris Est",,"RV Esbly (zone 5)","Bords du canal de Meaux à Chalifert, bords de Marne, si c'est possible nous visiterons le musée Louis Braille. Dénivelées.","Lagny Thorigny (zone 5)",,"Paris Est",,,,N,,
31020,2016-08-06,"Journée",0,,"Franck Tatibouet",17,17,17,1,2,1999/12/30 09:44:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:04:00,1999/12/30 16:25:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 16:44:00,"La Défense RER A (zone 3)",,"RV St Germain en Laye (zone 4)","Forêt de St Germain.","St Germain en Laye",,"La Défense",,,"IGN 2214 ET.",N,,
31038,2016-08-06,"Journée",28,"En forêt de Rougeau","Philippe Regourd",18,18,18,1,2,1999/12/30 09:05:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:51:00,1999/12/30 16:25:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:07:00,"Paris Gare de Lyon RER D",,"Cesson (zone 5)","St Leu, Noisement, le Four à Chaux. Dénivelées.","Savigny Le Temple Nandy (zone 5)",,"Paris Gare de Lyon",,,"IGN 2415 OT.",N,,
31039,2016-08-06,"Nordique",0,"Marche nordique pour débutants","Jean Pradeau",2,7,,2,1,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:00:00,1999/12/30 12:15:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,,,"métro Château de Vincennes","Séance réservée aux personnes ayant fait une séance préalable de découverte. Location de bâtons possible, envoyer un mail avec mention de votre taille à l'adresse de l'animateur qui vous a été communiquée lors de votre découverte. Rendez-vous Esplanade St Louis à 9h15 devant les bancs où l'on pratique les échauffements. Parcours improvisé dans le bois après échauffements puis étirements en fin de séance, pauses boisson, n'oubliez pas votre eau.","métro Château de Vincennes vers",,,,,,N,,
30982,2016-08-06,"Init nordiq",15,"Participez à une séance de découverte de la marche nordique","Henri et Jean",2,7,,2,1,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 14:00:00,1999/12/30 17:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,,,"métro Château de Vincennes","RV en face de l'entrée du Parc Floral (arrêt du bus 46 ou 112) à 14h15. Pour cette initiation avec prêt de bâtons, l'inscription est obligatoire par téléphone auprès de l'accueil du RIF au 01 45 42 24 72, à partir du 18 juillet 2016, en indiquant votre taille. Coût de la participation : 5€.","métro Château de Vincennes vers",,,,,,N,,
30983,2016-08-06,"Journée",0,,"Edith",21,21,21,1,2,1999/12/30 08:57:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:46:00,1999/12/30 17:32:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:25:00,"Paris St Lazare",,"Boissy L'Aillerie (zone 5)","Montgeroult, Ableiges, Us, Dampont, Santeuil, Moussy, Moulin de Noisemont.","Chars (zone 5)",,"Paris St Lazare",,,,N,,
30914,2016-08-06,"Journée",0,"Rando sous influence des champs yonniques","Gérard Verrouil",33,33,33,1,2,1999/12/30 07:38:00,1999/12/30 08:32:00,1999/12/30 08:38:00,1999/12/30 08:49:00,1999/12/30 18:35:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 20:13:00,"Paris Bercy","changement Sens","Villeneuve sur Yonne (hors zone)","A l'ouest de Villeneuve par les PR et GR. Prévoir 2 repas froids. Dénivelées.","Etigny Véron",,"Paris Gare de Lyon",,,,N,,
30954,2016-08-06,"Journée",0,"Improvisation - 1","Jojo",25,27,27,1,2,1999/12/30 08:49:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:21:00,1999/12/30 16:37:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:15:00,"Paris Gare de Lyon",,"Bois le Roi (zone 5)"," Dénivelées.","Bois le Roi (zone 5) 16h07 ou",,"Paris Gare de Lyon 16h41 ou",,,"IGN 2417 OT.",N,,
30905,2016-08-06,"Journée",14,"Bonnières Vétheuil via Giverny","Philippe Le Normand",29,29,29,1,2,1999/12/30 08:19:00,1999/12/30 08:51:00,1999/12/30 09:01:00,1999/12/30 09:11:00,1999/12/30 17:23:00,1999/12/30 17:45:00,1999/12/30 18:08:00,1999/12/30 18:40:00,"Paris St Lazare","changement Mantes la Jolie (zone 5)","Bonnières (zone 5)","Dans le Parc naturel du Vexin, nous passerons par Bennecourt, le bois du Moulin à Vent, nous longerons l'Epte, Giverny, Ste Geneviève lès Gasny, la Roche Guyon. GR2. Dénivelées.","Vétheuil mairie bus avec navigo","changement Mantes la Jolie (zone 5)","Paris St Lazare",,,"IGN 2113 O, 2113 E.",N,,
31190,2016-08-06,"Surprise",8,,"Bernard Rouquat",23,23,23,1,2,1999/12/30 08:09:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:56:00,1999/12/30 17:07:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:41:00,"Paris Montparnasse",,"Coignières (zone 5)",,"Fontenay le Fleury (zone 5)",,"Paris Montparnasse",,,,N,,
31210,2016-08-06,"Surprise",24,,"Claude Richard",9,9,9,1,2,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,,,"RV métro Jaurès","RV devant la Rotonde de la Villette. Canal de l'Ourcq jusqu'à Bobigny. Retour métro Jaurès vers 15h30 par petite croisière fluviale, prévoir 1 € en monnaie.",,,,,,,N,,
31226,2016-08-06,"Surprise",12,,"Louïs Pel Camignol",20,20,20,1,2,1999/12/30 09:19:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:00:00,1999/12/30 18:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:41:00,"Paris Gare de Lyon ",,"Fontainebleau Avon (zone 5)","Passage dans les rochers de Franchard. Dénivelées.","Fontainebleau Avon",,"Paris Gare de Lyon",,,,N,,
31040,2016-08-07,"Journée",22,"D'étoile en étoile","Richard23",24,24,24,1,2,1999/12/30 08:17:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:57:00,1999/12/30 16:50:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:29:00,"Paris St Lazare",,"RV St Nom la Bretèche (zone 5)","Le tour de la forêt de Marly. GR1. Dénivelées: 450m.","St Nom la Bretèche",,"Paris St Lazare",,,"IGN 2214 ET.",N,,
31041,2016-08-07,"Nordique",0,"Marche nordique ","Jean Pradeau",2,8,,2,2,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:00:00,1999/12/30 12:15:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,,,"métro Château de Vincennes","Improvisations dans le bois après échauffements puis étirements en fin de séance. Accessible aux débutants possédant leurs bâtons, pas de location possible. Rendez-vous Esplanade St Louis à 9h15 devant les bancs où l'on pratique les échauffements. Pauses boisson, n'oubliez pas votre eau.","métro Château de Vincennes vers",,,,,,N,,
30984,2016-08-07,"Nordique",0,"Marche nordique","Annick Cozic",10,10,10,1,3,1999/12/30 08:33:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:57:00,1999/12/30 12:03:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 12:18:00,"Javel RER C",,"Chaville Vélizy (zone 3)","Bois de Meudon. Dénivelées.","Chaville Vélizy ",,"Javel RER C",,,,N,,
30985,2016-08-07,"Nordique",0,"Marche nordique ","Michel Cozic",12,12,12,1,4,1999/12/30 08:33:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:57:00,1999/12/30 12:03:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 12:18:00,"Javel RER C",,"Chaville Vélizy (zone 3)","Bois de Meudon. Dénivelées.","Chaville Vélizy ",,"Javel RER C",,,,N,,
30986,2016-08-07,"Journée",72,"Belles forêts du Val d'Oise","Philippe Raffalli",17,17,17,1,2,1999/12/30 09:56:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:38:00,1999/12/30 17:01:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:32:00,"Paris Nord surface banlieue",,"Mériel (zone 5)","Le port aux Moines, coteaux de l'Etang, les carrières. Dénivelées.","Taverny (zone 4)",,"Paris Nord",,,"IGN 2313 OT.",N,,
30912,2016-08-07,"Journée",0,"Chez Monsieur Laffitte, château de Maisons","Monette",18,18,18,1,2,1999/12/30 08:48:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:15:00,1999/12/30 16:59:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:23:00,"Châtelet Les Halles RER A",,"RV Maisons Laffitte (zone 4)","Château de Maisons-Laffitte construit en 1642 (visite gratuite le dimanche), traversée du parc de Maisons-Laffitte, domaine du centre d'entraînement hippique le plus important en
France, forêt de St Germain en Laye, Conflans et bords de Seine, Herblay. Dénivelées.","Herblay (zone 4)",,"Paris St Lazare","28/08/201600/00/000000/00/0000",,"IGN 2214 ET.",N,,
30923,2016-08-07,"Journée",0,"Boucle autour de Maisons Laffitte","Philippe Obry et Milpattt",12,12,12,1,1,1999/12/30 12:08:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 12:20:00,1999/12/30 17:06:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:18:00,"La Défense RER A (zone 3)",,"RV Maisons Laffitte (zone 4)","Etoile du Tronchet, Croix St Simon, pavillon de la Muette, Etoile du Bout du Monde.","Maisons Laffitte (zone 4)",,"La Défense",,,"IGN 2214 ET.",N,,
30944,2016-08-07,"Journée",7,"A l'est de Château Thierry","Katherine",24,24,24,1,2,1999/12/30 08:36:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:22:00,1999/12/30 18:01:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:53:00,"Paris Est",,"Château Thierry (hors zone)","Vignes, bords de Marne et aqueduc de la Dhuis. GRP Tour du pays de l'Omois, GR14. Dénivelées.","Château Thierry",,"Paris Est",,,,N,,
30955,2016-08-07,"Journée",0,"D'une boucle à l'autre","Le Samaritain",21,21,21,1,2,1999/12/30 08:51:00,1999/12/30 09:21:00,1999/12/30 09:28:00,1999/12/30 09:38:00,1999/12/30 17:38:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:09:00,"Paris Est","changement Trilport","Lizy sur Ourcq (zone 5)","Bords de Marne, Tancrou, Changis s/Marne, St Jean, Montceaux les Meaux.","Trilport (zone 5)",,"Paris Est",,,"IGN 2513 OT.",N,,
31089,2016-08-07,"Journée",0,"Les richesses de l'Essonne","Didier",25,25,25,1,2,1999/12/30 08:39:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:01:00,1999/12/30 18:17:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 19:48:00,"Paris Gare de Lyon RER D",,"Buno Gironville (zone 5)","Château de Bonnevaux, église St léger du XIe-XVe, Moulin Paillard, château de Rouville ; les marais de l'Essonne sillonnent les Canches, étroites vallées sèches.","Malesherbes (hors zone)",,"Paris Gare de Lyon",,,"IGN 2316 ET.",N,,
31158,2016-08-07,"Surprise",27,,"Gilles Perrier",6,30,,2,3,1999/12/30 08:19:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:54:00,1999/12/30 17:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:41:00,"Paris Gare de Lyon",,"Fontainebleau Forêt (zone 5)","En forêt, en évitant les rochers, pour une fois. Butte St Louis, Table du Grand Maître, Carrefours du Bas Bréau et du Bois d'Hyver, Franchard, Roche Sidonie Mertens. Dénivelées.","Fontainebleau Avon (zone 5)",,"Paris Gare de Lyon",,,,N,,
31104,2016-08-07,"Journée",0,"Rando orientation","Hervé Bisson",11,13,13,1,2,1999/12/30 09:34:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:01:00,1999/12/30 17:53:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:24:00,"Paris Nord surface banlieue",,"Bouffémont Moisselles (zone 5)","Rando réservée aux personnes intéressées par l'orientation. Emporter boussole simple et carte IGN 2313OT. Dénivelées.","Montsoult Maffliers (zone 5)",,"Paris Nord",,,,N,,
31211,2016-08-07,"Surprise",4,,"Jérôme",15,20,20,1,3,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 11:00:00,1999/12/30 17:30:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,,,"RV métro Bastille","RV Place de la Bastille, côté de la Fnac. Pique-nique.","métro Château de Vincennes vers",,,,,,N,,
31212,2016-08-08,"Surprise",10,,"Brigitte",15,15,15,1,2,1999/12/30 09:59:00,1999/12/30 10:10:00,1999/12/30 10:21:00,1999/12/30 10:28:00,1999/12/30 17:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,"Paris St Lazare","changement La Défense RER A","RV Rueil Malmaison (zone 3)","Prendre la sortie « rue des 2 gares». Pique-nique à St Cucufa. Dénivelées.","Tramway T2 Musée de Sèvres vers",,,,,,N,,
30988,2016-08-09,"Journée",0,"Balade à Nemours en Larchant d'un bon pas","Daniel Albani",26,27,27,1,2,1999/12/30 08:19:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:23:00,1999/12/30 17:34:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:41:00,"Paris Gare de Lyon",,"Nemours St Pierre (zone 5)","Forêt de la Commanderie, Larchant, Nemours. Dénivelées.","Nemours St Pierre",,"Paris Gare de Lyon",,,"IGN 2417 OT.",N,,
30987,2016-08-09,"Journée",81,"On s'bouge","Claude Richard et Patrick Richard",12,12,12,1,2,1999/12/30 13:52:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 14:16:00,1999/12/30 18:03:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:42:00,"Paris St Lazare",,"RV Sèvres Ville d'Avray (zone 3)","Parc de St Cloud, forêt de Fosses Reposes. Dénivelées.","Versailles RD (zone 4)",,"Paris St Lazare",,,,N,,
31042,2016-08-09,"Journée",6,,"Claude B",35,35,35,1,3,1999/12/30 07:55:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:33:00,1999/12/30 17:12:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:59:00,"Paris Nord surface banlieue",,"Viarmes (zone 5)"," Dénivelées.","Valmondois (zone 5)",,"Paris Nord",,,,N,,
30956,2016-08-09,"Journée",0,"St Loup de Naud","Le Samaritain",18,18,18,1,2,1999/12/30 09:46:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:58:00,1999/12/30 17:05:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:12:00,"Paris Est",,"Longueville (zone 5)","Savins, Sognolles en Montois, Lizines, St Loup de Naud.","Longueville",,"Paris Est",,,"IGN 2516 O, 2616 O.",N,,
31227,2016-08-09,"Surprise",0,"Rando du soir et chansons","Albert",2,10,,2,2,1999/12/30 18:26:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:37:00,1999/12/30 22:02:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 22:11:00,"Javel RER C",,"RV Meudon Val Fleury (zone 3)","Préparer une ou plusieurs chansons de Michel Berger et France Gall à lire ou à chanter pendant la longue pause. TRAVAUX SNCF : LE RER C PART ET S'ARRETE A JAVEL. Dénivelées.","Meudon Val Fleury (zone 3)",,"Javel",,,,N,,
31043,2016-08-10,"Journée",43,"Rando du soir (7) :le bois de Vincennes","Guy Ensminger",10,10,10,1,2,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 19:00:00,1999/12/30 22:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,,,"RV métro Château de Vincennes à l'arrêt du bus 46","Après un parcours dans le Bois de Vincennes, nous découvrirons le parc des Carrières à Fontenay, puis le parc des Beaumonts à Montreuil. Dénivelées.","métro Croix de Chavaux vers",,,,,"IGN 2314 OT.",N,,
30924,2016-08-10,"Journée",46,,"Michelle Lacayo",17,17,17,1,2,1999/12/30 08:55:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:33:00,1999/12/30 16:17:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 16:50:00,"Paris Nord",,"Viarmes (zone 5)","Asnières s/Oise, Noisy s/Oise, forêt de Carnelle. Dénivelées.","Presles Courcelles (zone 5)",,"Paris Nord",,,,N,,
31228,2016-08-10,"Surprise",0,,"Jacques Dubois",4,16,,2,2,1999/12/30 08:49:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:21:00,1999/12/30 13:30:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 14:41:00,"Paris Gare de Lyon",,"RV Bois le Roi (zone 5)","Parcours varié.","Fontainebleau Avon (zone 5)",,"Paris Gare de Lyon",,,,N,,
31021,2016-08-11,"Journée",0,,"Franck Tatibouet",18,18,18,1,2,1999/12/30 09:26:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:53:00,1999/12/30 16:26:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 16:59:00,"Paris Nord surface banlieue",,"St Leu la Forêt (zone 4)","La forêt domaniale de Montmorency.","Taverny (zone 4)",,"Paris Nord",,,"IGN 2313 OT.",N,,
